"id","parent_organisation_id","organisation_name","trade_name","fy_start_month","fy_end_month","website","registration_number","vat_number","crm_id","status_id","registered_country_id","creator_ledger_id","created_by","updated_by","created_at","updated_at","logo_url","industry_id","currency_id","description","nace_section_id","revenue_access_number","exchange_ref_id","hierarchy_code","deleted_at","is_delete","leads_transactions_id","allow_external_app","proof_of_identity","proof_of_address","Column32"
31162,,"","",October,September,"","",,,1,106,1,,,"2021-10-05 05:11:05","2022-01-03 10:33:43",,,1,,,,,,"2022-01-03 10:33:43",0,0,0,,,
71203,,"",,January,December,"",,,,1,122,1,205,205,"2024-07-15 11:41:55","2024-07-15 11:41:55",,98,1,,5020,,,,,0,0,0,,,
64512,,-,,January,December,-,,,,1,75,1,205,205,"2023-09-21 08:32:54","2023-09-21 08:32:54",,98,1,,5020,,,,,0,0,0,,,
54731,,-Blank-,"",,,"","","","0010Y00000JpJCa",,106,1,103,158,"2017-03-21 00:00:00","2019-02-22 00:00:00",,,1,"",,"",,,,0,0,0,,,
61583,,.,"",February,January,"","","",,,233,1,741,741,"2023-02-06 15:22:34","2023-02-06 15:22:35",,98,1,,,,,,,0,90259,0,,,
68477,,". The fist cake i baked was 10,000frs after which i staraving many orders . Same with cooking.",,January,December,"money to get a business space and buy more equipments. The fist cake i baked was 10,000frs after which i starting having many orders . Same with cooking.",,,,1,38,1,205,205,"2024-04-12 18:59:17","2024-04-12 18:59:17",,98,1,,5020,,,,,0,0,0,,,
61282,,....,"",January,December,"","","",,1,237,1,205,763,"2022-12-31 20:02:20","2023-01-03 11:52:58",,98,1,,5020,,,,,0,0,0,,,
66485,,"""K"" PILA","",January,December,"","","",,1,84,1,205,205,"2024-01-03 12:07:13","2024-01-31 13:53:27",,98,1,,5020,,,,,0,0,0,,,
69995,,"""OCTI-VC"" Via Accra College of Medicine",,January,December,"",,,,1,106,1,205,205,"2024-06-13 03:15:47","2024-06-13 03:15:47",,98,1,,5020,,,,,0,0,0,,,
63408,,/,,January,December,/,,,,1,55,1,205,205,"2023-07-05 12:37:44","2023-07-05 12:37:44",,98,1,,5020,,,,,0,0,0,,,
70221,,•	Diocesan Commission for the Family/ Diocese of Ruhengeri,,January,December,Faith based organisation with Legal Personality No.396/08 complied with the law No.72/2028 of 31/08/2018,,,,1,106,1,205,205,"2024-06-19 01:09:05","2024-06-19 01:09:05",,98,1,,5020,,,,,0,0,0,,,
67887,,+256757646701,,January,December,"",,,,1,235,1,205,205,"2024-03-16 10:36:18","2024-03-16 10:36:18",,98,1,,5020,,,,,0,0,0,,,
62971,,"0",,January,December,"0",,,,1,106,1,205,205,"2023-05-30 05:37:53","2023-10-24 08:03:14",,98,1,,5020,,,,,0,97631,0,,,
28452,,"007H CORP","",October,September,"","",,,1,106,1,,,"2021-10-05 05:10:28","2021-10-05 05:10:28",,125,1,,,,,,,0,0,0,,,
32655,,"010.ie t/a TVL Limited","",October,September,"","",,,1,106,1,,,"2021-10-05 05:11:25","2021-10-05 05:11:25",,26,1,,,,,,,0,0,0,,,
64623,,"01011933100",,January,December,"Cairo - Mokattam City - Seventy Acres Area, Fawzi Al-Gharbawi Street",,,,1,66,1,205,205,"2023-09-27 23:50:32","2023-09-27 23:50:32",,98,1,,5020,,,,,0,0,0,,,
64377,,"01027925242",,January,December,"01027925242",,,,1,170,1,205,205,"2023-09-10 00:03:32","2023-09-10 00:03:32",,98,1,,5020,,,,,0,0,0,,,
67417,,"0110295967084",,January,December,"0110295967084",,,,1,196,1,205,205,"2024-02-24 14:17:56","2024-02-24 14:17:56",,98,1,,5020,,,,,0,0,0,,,
67886,,"01876270303",,January,December,riyazuddin Bazar,,,,1,18,1,205,205,"2024-03-16 09:03:27","2024-03-16 09:03:27",,98,1,,5020,,,,,0,0,0,,,
61565,,"0ublic health","",March,February,"","","",,1,108,1,205,749,"2023-02-03 07:37:23","2023-03-09 15:34:30",,76,1,,5020,,,,,0,90224,0,,,
53576,,"1 2 Travel (International) Limited","",,,"",IE321277,"","0010Y00001Ndk7B",,106,1,149,149,"2018-04-13 00:00:00","2018-04-13 00:00:00",,,1,"",,"",,,,0,0,0,,,
64826,,"1 Mastership Tactic Investments SMC Limited","",October,September,"","","",,1,235,1,205,205,"2023-10-09 18:34:06","2023-10-10 11:32:24",,98,1,,5020,,,,,0,0,0,,,
2447,,"1 Plus Security","",August,July,"","572044","","",1,106,1,1,1,"2021-08-18 12:46:12","2021-08-18 12:46:12",,1,1,"1 Plus Security",2,"","20170303003856",#2447#,,0,0,0,,,
67562,,"1 six store and bakery",,January,December,"",,,,1,106,1,205,205,"2024-03-03 03:17:40","2024-03-03 03:17:40",,98,1,,5020,,,,,0,0,0,,,
